"Booking ID",Destination,"Date of Tour","End of Tour",Days,Buses,"Total Cost",Balance,Status
196,"SM Fairview, Quirino Highway, Novaliches, Quezon City, Metro Manila, Philippines",2025-07-22,2025-07-22,1,2,33560.18,0.00,Confirmed
198,"Baguio Cathedral, Steps To Our Lady Of Atonement Cathedral, Baguio, Benguet, Philippines",2025-07-26,2025-07-26,1,4,281755.70,246536.23,Confirmed
